Street,HouseNumber,Locality,Region,Province,PostalCode,Country,Latitude,Longitude
Calle Iglesia,5,Santa María de la Alameda,Madrid,Comunidad de Madrid,28296,España,40.5964842,-4.2575959
Plaza de la Estación,2,Tres Cantos,Madrid,Comunidad de Madrid,28760,España,40.5992948,-3.7156154
Calle de Goya,70,Madrid,Madrid,Comunidad de Madrid,28009,España,40.424692,-3.6766315
Avenida de Castilla,2,Colmenar de Oreja,Madrid,Comunidad de Madrid,28380,España,40.0776823,-3.48686
Calle de la Villa,7,Talamanca de Jarama,Madrid,Comunidad de Madrid,28160,España,40.7443775,-3.5122045
Avenida de los Labradores,9-11,Tres Cantos,Madrid,Comunidad de Madrid,28760,España,40.599571,-3.709401
Calle de Santa Bárbara,2,Torrelaguna,Madrid,Comunidad de Madrid,28180,España,40.8276555,-3.5397946
Calle de Cuchilleros,17,Madrid,Madrid,Comunidad de Madrid,28005,España,40.4141769,-3.7079547
Calle Malacuera,2,Torrelaguna,Madrid,Comunidad de Madrid,28180,España,40.8264808,-3.5384511
Calle Ronda de la Sangre,22,Cadalso de los Vidrios,Madrid,Comunidad de Madrid,28640,España,40.3010559,-4.4390716
Gran Vía,7,Madrid,Madrid,Comunidad de Madrid,28013,España,40.4193824,-3.6987431
Calle Real,5,Colmenar del Arroyo,Madrid,Comunidad de Madrid,28213,España,40.4189295,-4.1984633
Calle del Palacio,1,Nuevo Baztán,Madrid,Comunidad de Madrid,28514,España,40.365159,-3.2429536
Calle Tejar,2,Las Herreras,Madrid,Comunidad de Madrid,28296,España,40.6189939,-4.2768651
Plaza de la Corredera,27,Cadalso de los Vidrios,Madrid,Comunidad de Madrid,28640,España,40.301438,-4.4398065
Avenida de Europa,11,Pozuelo de Alarcón,Madrid,Comunidad de Madrid,28224,España,40.4379836,-3.7945177
Calle del Maestro Arbós,3,Legazpi,Madrid,Comunidad de Madrid,28045,España,40.390439,-3.6947744
Avenida del Puente Cultural,1,San Sebastián de los Reyes,Madrid,Comunidad de Madrid,28702,España,40.5709568,-3.6072476
N-III,35,Perales de Tajuña,Madrid,Comunidad de Madrid,28540,España,40.2359233,-3.3501345
Paraje las Quintas,2,El Vellón,Madrid,Comunidad de Madrid,28722,España,40.7769318,-3.5782051
Vía de las Dos Castillas,33,Pozuelo de Alarcón,Madrid,Comunidad de Madrid,28224,España,40.440227,-3.786281
Calle de Velázquez,18,Madrid,Madrid,Comunidad de Madrid,28001,España,40.4233521,-3.6839974
Calle Camino del Cura,233,Alcobendas,Madrid,Comunidad de Madrid,28109,España,40.508017,-3.637713
Calle de Botoneras,6,Madrid,Madrid,Comunidad de Madrid,28012,España,40.4149117,-3.7068219
